Continent,Country,VAT,VATM,StandardRate,ReducedRate,TaxExempt,Tax_Change_Date,Imp_tax_Exempt,Content,References,Successful_Camp,Active_Camp,Year,Camp_Name,Camp_Pet,More_Camp_Info,Rec_Articles
Africa,Algeria,19.00%,19.00%,yes,no,no,,,Algeria applies a 19% sta...,assets.ey.c...,no info,no info,,,,,
Africa,Angola,14.00%,14.00%,yes,no,no,,,Angola's VAT system was i...,assets.ey.c...,no info,no info,,,,,
Africa,Benin,18.00%,18.00%,yes,no,no,,,Benin applies a tandard V...,impots.fina...,no info,no info,,,,,
Africa,Botswana,12.00%,12.00%,yes,no,no,,,Botswana's standard VAT r...,assets.ey.c...,no info,no info,,,,,
Africa,Burkina Faso,18.00%,18.00%,yes,no,no,,,The standard VAT in Burki...,crowe.com...,no info,no info,,,,,
Africa,Burundi,18.00%,18.00%,yes,no,no,,,Burundi's standard VAT is...,eac.int...,no,yes,2020,#NtaKoriMuKwezi,,The #NtaKoriMuKwezi campa...,rfi.fr...
Africa,Cameroon,19.25%,19.25%,yes,no,no,,,Cameroon's standard VAT i...,drive.googl...,no info,no info,,,,,
Africa,Cape Verde,15.00%,15.00%,yes,no,no,,,"In Cap Verde, standard va...",taxsummarie...,no info,no info,,,,,
Africa,Central African Republic,19.00%,19.00%,yes,no,no,,,Central African Republic...,tradingecon...,no info,no info,,,,,
Africa,Chad,18.00%,18.00%,yes,no,no,,,Chad's current VAT rate i...,pwc.co.za...,no info,no info,,,,,
Africa,Comoros,x,x,no info,no info,no info,,,There is no VAT in Comoro...,crowe.com...,no info,no info,,,,,
Africa,Demoratic Republic of Congo,16.00%,16.00%,yes,no,no,,,The Democratic Republic o...,home.kpmg...,no info,no info,,,,,twitter.com...
Africa,Republic of Congo,18.90%,18.90%,yes,no,no,,,The Republic of Congo's s...,assets.ey.c...,no info,no info,,,,,
Africa,Djibuti,10.00%,10.00%,Yes,no,no,2009,,VAT was introduced to Dji...,crowe.com...,no info,no info,,,,,
Africa,Egypt,14.00%,14.00%,yes,no,no,,,Egypt applies a standard...,avalara.com...,no info,no info,,,,,egyptianstreets...
Africa,Equatorial Guinea,15.00%,15%,yes,no,no,,,A VAT of 15% is levied ac...,crowe.com...,no info,no info,,,,,
Africa,Eritrea,8.50%,8.50%,yes,no,no,,,VAT is referred to as ‘sa...,,no info,no info,,,,,
Africa,Ethiopia,15.00%,10.00%,no,yes,no,2021,,Ethiopia's Ministry of Fi...,twitter.com...,no,yes,2019,#Stoptaxingmyperiod #keepherinschool,twitter.com...,"Run by Jegnit, starting f...",
Africa,Gabon,18.00%,18.00%,yes,no,no,,,Gabon's standard VAT rate...,pwc.co.za...,no info,no info,,,,,
Africa,Gambia,15.00%,15.00%,yes,no,no,,,Gambia charges a standard...,crowe.com...,no info,no info,,,,,
Africa,Ghana,12.50%,12.50%,yes,no,no,,y,Ghana has a new VAT regim...,ghanaweb.co...,no,yes,2018 & 2020,#NoPadTax,change.org...,The No Pad Tax campaign i...,citinewsroom.co...
Africa,Guinea,18.00%,18%,yes,no,no,,,Guinea's general VAT rate...,crowe.com...,no info,no info,,,,,
Africa,Guinea-Bissau,17.00%,17%,yes,no,no,,,There is no VAT in Guinea...,crowe.com...,no info,no info,,,,,
Africa,Ivory Coast,18.00%,18.00%,yes,no,no,,,Ivory Coast's standard VA...,pwc.co.za...,no info,no info,,,,,
Africa,Kenya,16.00%,0.00%,no,no,yes,2004,yes,Kenya was the first natio...,kra.go.ke...,no,no,,,,Kenya scrapped taxes on t...,dandc.eu...
Africa,Lesotho,15.00%,0.00%,yes,no,yes,2019,,Lesotho government has ap...,lra.org.ls...,yes,no,,,,,
Africa,Liberia,10.00%,10.00%,yes,no,no,,,Liberia is currently usin...,crowe.com...,no,yes,,,allafrica.c...,Around Menstrual Hygiene...,
Africa,Libya,0%,0%,,,,,,There is no VAT or GST in...,crowe.com...,no info,no info,,,,,
Africa,Madagascar,20.00%,20.00%,yes,no,no,,,Madagascar has a 20% VAT...,assets.ey.c...,no info,no info,,,,,
Africa,Malawi,16.50%,0.00%,no,no,yes,2022,yes,"In March 2022, during a t...",mra.mw...,yes,no,2018,,,WESnet Malawi advocated t...,wesnetwork.org...
Africa,Mali,18.00%,18.00%,yes,no,no,,,Mali's standard VAT is 18...,crowe.com...,no info,no info,,,,,
Africa,Mauritania,16.00%,16.00%,yes,no,no,,,Mauretanias standard VAT...,ey.com...,no info,no info,,,,,
Africa,Mauritius,15.00%,0.00%,no,yes,yes,2017 & 2018,yes,The Mauritius budget 2017...,mra.mu...,no info,no info,,,,,
Africa,Morocco,20.00%,20.00%,yes,no,no,,,Morocco's standard VAT st...,crowe.com...,no,yes,2018,,change.org...,A petition was launched i...,
Africa,Mozambique,17.00%,17.00%,yes,no,no,,,The current VAT in Mozamb...,home.kpmg...,no info,no info,,,,,
Africa,Namibia,15.00%,0.00%,no,no,yes,2022,,Namibia's standard VAT ra...,namibian.co...,yes,yes,2020,#taxfreeperiodnam,,taxfreeperiodnam is a dig...,myperiodisaweso...
Africa,Niger,19.00%,19.00%,yes,no,no,,,Niger's standard VAT is 1...,crowe.com...,no info,no info,,,,,
Africa,Nigeria,7.50%,0.00%,no,no,yes,1997/ 2020,y,"In 2020, Nigeria's basic...",firs.gov.ng...,yes,no,2018-2020,#EndNaijaTaxOnPads #Endthe9jiaOnPads,change.org...,In October 2018 many Nige...,nigerianobserve...
Africa,Rwanda,18.00%,0.00%,no,no,yes,2019,,Rwanda anounced in Decemb...,rra.gov.rw...,yes,no,2019,#FreeThePeriod Initiative,gofundme.co...,"Launched in 2019, the cam...",newtimes.co.rw...
Africa,Sao Tome and Principe,7.50%,7.50%,,,,,,There is no VAT or sales...,crowe.com...,no info,no info,,,,,
Africa,Senegal,18.00%,18.00%,yes,no,no,,,Senegal's standard value-...,crowe.com...,no info,no info,,,,,
Africa,Seychelles,x,x,,,,,,According to the Seychell...,crowe.com...,no info,no info,,,,,
Africa,Sierra Leone,15.00%,15.00%,yes,no,no,,,Sierra Leone's standard V...,crowe.com...,no info,no info,,,,,
Africa,Somalia,x,x,,,,,,Due to on-going civil unr...,crowe.com...,no info,no info,,,,,
Africa,South Africa,15.00%,0.00%,no,yes,yes,2020,,"In South Africa, menstrua...",gov.za...,yes,no,2018,#TaxfreePad #BecauseWeBleed,change.org...,A loose alliance of femal...,okayafrica.com...
Africa,South Sudan,18%,18%,yes,no,no,,,South Sudan's inroduced a...,ey.com...,no info,no info,,,,,
Africa,Sudan,17.00%,17.00%,yes,no,no,,,Sudan's tax on goods sol...,crowe.com...,no info,no info,,,,,
Africa,Swaziland,14.00%,14.00%,yes,no,no,,,Swaziland introduced VAT...,crowe.com...,no info,no info,,,,,
Africa,Tanzania,18.00%,18.00%,yes,no,no,2018,,In Tanzania the VAT on sa...,allafrica.c...,yes,no,2019,#KodiYaHedhi #PediBilaKodi,change.org...,"For more details, please...",allafrica.com...
Africa,Togo,18.00%,18.00%,yes,no,no,,,Togo's tax on goods sold...,avalara.com...,no info,no info,,,,,
Africa,Tunisia,19.00%,19.00%,yes,no,no,,,Tunesia applies a 19% sta...,crowe.com...,no info,no info,,,,,
Africa,Uganda,18.00%,0.00%,no,no,yes,2005 2017 2020,,Pursuant to the third sch...,ura.go.ug...,no,no,,,,,
Africa,Zambia,16.00%,16.00%,yes,no,no,,,Zambia applies a 16% stan...,assets.ey.c...,no info,no info,,,,,
Africa,Zimbabwe,15.00%,15.00%,yes,no,no,2017,y,Zimbabwe's current VAT on...,huffingtonp...,no,yes,2019,,change.org...,Zimbabwe suffers from hig...,huffpost.com...
Asia,Afghanistan,10.00%,10.00%,yes,no,no,,,Afghanistan has a standar...,avalara.com...,no info,no info,,,,,
Asia,Armenia,20.00%,20.00%,yes,no,no,,,Armenia's standard VAT st...,assets.ey.c...,no info,no info,,,,,
Asia,Azerbaijan,18.00%,18.00%,yes,no,no,,,Azerbaijan's applies a 18...,assets.ey.c...,no info,no info,,,,,
Asia,Bangladesh,15.00%,0%,no,no,yes,2019 / 2021,y,In the 2021-22 national b...,dhakatribun...,yes,no,2019,,change.org...,"For more details, watch t...",dhakatribune.co...
Asia,Bahrain,5.00%,5.00%,yes,no,no,,,"From 1st January 2019, Bh...",avalara.com...,no info,no info,,,,,
Asia,Bhutan,7.00%,0.00%,no,no,yes,2020,y,In 2020 Bhutan introduced...,mof.gov.bt...,no info,no info,,,,,
Asia,Brunei,x,x,,,,,,Brunei does not currently...,rd.go.th...,no info,no info,,,,,
Asia,Cambodia,10.00%,10.00%,yes,no,no,,,Cambodia levies a standar...,home.kpmg...,no info,no info,,,,,
Asia,China,13.00%,13.00%,yes,no,no,,,The standard rate of VAT...,worldwide-t...,no,yes,,,lis.ly.gov....,,
Asia,Cyprus,19.00%,5.00%,no,yes,no,2007,,"In Cyprus, pursuant to Sc...",civio.es...,no,no,,,,,
Asia,Georgia,18.00%,18.00%,yes,no,no,,,The standard VAT in Georg...,assets.ey.c...,no info,no info,,,,,
Asia,India,18.00%,0.00%,no,no,yes,,,Menstrual hygiene items w...,cbic-gst.go...,yes,no,2017,#lahukalagaan #TaxFreeWings,change.org...,A social media campaign d...,bbc.com...
Asia,Indonesia,10.00%,10.00%,yes,no,no,,,A standard tax rate of 10...,assets.ey.c...,no info,no info,,,,,
Asia,Iran,9.00%,9.00%,yes,no,no,,,"Iran's rate of VAT is 6%,...",civio.es...,no info,no info,,,,,
Asia,Iraq,0%,0%,no taxes,no taxes,no taxes,,,There is no VAT in Iraq....,pkf.com...,no info,no info,,,,,
Asia,Israel,17.00%,17.00%,yes,no,no,,,Israel charges a 17% stan...,avalara.com...,no info,no info,,,,,
Asia,Japan,10.00%,10.00%,yes,no,no,,,Japan's standard consump...,avalara.com...,no info,no info,,,,,
Asia,Jordan,16.00%,16.00%,yes,no,no,,,Jordan's standard VAT rat...,assets.ey.c...,no info,no info,,,,,
Asia,Kazakhstan,12.00%,12.00%,yes,no,no,,,Exempt: Land and resident...,home.kpmg...,no info,no info,,,,,
Asia,Democratic People's Republic of Korea,0%,0%,no taxes,no taxes,no taxes,,,Officially North Korea is...,en.wikipedi...,no info,no info,,,,,
Asia,South Korea,10.00%,5.00%,no,no,yes,2004,yes,The South Korean governme...,txsi.hometa...,no info,no info,,,,,
Asia,Kuwait,0%,0%,no taxes,no taxes,no taxes,,,Kuwait plans to introduce...,avalara.com...,no info,no info,,,,,
Asia,Kyrgyzstan,12.00%,12.00%,Yes,no,no,,,A standard rate of 12% a...,avalara.com...,no info,no info,,,,,
Asia,Laos,10.00%,10.00%,yes,no,no,,,Laos's standard VAT stand...,taxsummarie...,no info,no info,,,,,
Asia,Lebanon,11.00%,0.00%,no,no,yes,2001,,Pursuant to Art. 17 of th...,databank.co...,no info,no info,,,,,
Asia,Malaysia,10.00%,0.00%,no,no,yes,2017,,Malyasia's standard VAT i...,mysst.custo...,yes,no,2014 - 2017,#NoGSTforPeriods  #NoTaxOnPeriods,change.org...,In August 2018 the Custom...,therakyatpost.c...
Asia,Maldives,6.00%,0.00%,no,no,yes,2018,,"In November 2018, the Mal...",mira.gov.mv...,no info,no info,,,,,
Asia,Mongolia,10.00%,10.00%,yes,no,no,,,Mongolias standard tax ra...,assets.ey.c...,no info,no info,,,,,
Asia,Myanmar,x,x,,,,,,Myanmar's commercial tax...,assets.ey.c...,no info,no info,,,,,
Asia,Nepal,13.00%,13.00%,no,yes,no,2022,yes,In Nepal the VAT on menst...,thehimalaya...,no info,no info,,,,,
Asia,Oman,0%,0%,,,,,,Oman has plans to introdu...,avalara.com...,no info,no info,,,,,
Asia,Pakistan,17.00%,17.00%,yes,no,no,,,Pakistan has a complex ta...,avalara.com...,no info,no info,,,,,instagram.com...
Asia,Palestine,16.00%,16%,,,,,,The VAT rate in Palestine...,taxsummarie...,no info,no info,,,,,
Asia,Philippines,12.00%,12.00%,yes,no,no,,,The standard rate of 12%...,business.mb...,no info,no info,,,,,
Asia,Qatar,5.00%,5.00%,yes,no,no,,,VAT was intoduced in Qata...,avalara.com...,no info,no info,,,,,
Asia,Russia,20.00%,20.00%,yes,no,no,,,Russia has multiple VAT r...,taxsummarie...,no info,no info,,,,,
Asia,Saudi Arabia,15.00%,15.00%,yes,no,no,,,Saudi Arabia has a standa...,gazt.gov.sa...,no info,no info,,,,,
Asia,Singapore,7.00%,7.00%,yes,no,no,,,"In Singapore, the standar...",assets.ey.c...,no info,no info,,,,,
Asia,Sri Lanka,12.50%,8.00%,no,yes,no,2022,yes,"in June 2022, the import...",taxadvisor....,yes,yes,2017/18,,change.org...,The think tank Advocata I...,atlasnetwork.or...
Asia,Syria,x,x,no info,no info,no info,,,No info available...,,no info,no info,,,,,
Asia,Tajikistan,18.00%,18.00%,yes,no,no,,,Tax rates VAT in Tajikist...,taxsummarie...,no info,no info,,,,,
Asia,Thailand,7.00%,7.00%,yes,no,no,,,The standard VAT rate in...,assets.ey.c...,no info,no info,,,,,
Asia,Timor-Leste,2.50%,2.50%,yes,no,no,,,Sales tax at a rate of 2....,taxsummarie...,no info,no info,,,,,
Asia,Turkey,18.00%,8.00%,no,yes,no,,,The value added tax (VAT)...,resmigazete...,no,yes,2018,,change.org...,,birgun.net...
Asia,Turkmenistain,15.00%,15.00%,yes,no,no,,,A zero-rate applies to ex...,,no info,no info,,,,,
Asia,United Arab Emirates,5.00%,5.00%,yes,no,no,,,The standard VAT in Unite...,u.ae...,no info,no info,,,,,
Asia,Uzbekistan,20.00%,20.00%,yes,no,no,,yes,The VAT standard rate in...,assets.ey.c...,no info,no info,,,,,
Asia,Vietnam,10.00%,5.00%,no,yes,no,2018,,"In 2018, the Ministry of...",thuvienphap...,no info,no info,,,,,
Asia,Yemen,5.00%,5.00%,yes,no,no,,,Yemen operates a General...,deloitte.co...,no info,no info,,,,,
Europe,Albania,20.00%,20.00%,yes,no,no,,,Albania's Standarf VAT is...,taxsummarie...,no info,no info,,,,,
Europe,Andorra,4.50%,4.50%,yes,no,no,,,Andorra has the lowest st...,andorraguid...,no info,no info,,,,,
Europe,Austria,20.00%,10.00%,no,yes,no,2021,,In a decision from Decemb...,tt.com...,yes,yes,2016,#aufstehen,actions.auf...,Erdbeerwoche wrote an ope...,erdbeerwoche.co...
Europe,Belarus,20.00%,20.00%,yes,no,no,,,"In Belarus , the 20% VAT...",assets.ey.c...,no info,no info,,,,,
Europe,Belgium,21.00%,6.00%,no,yes,no,2018,,The Belgian government an...,etaamb.be...,yes,no,2015,#Tampontaks,change.org...,Feminist collective Belge...,test-achats.be...
Europe,Bosnia and Herzegovina,17.00%,17.00%,yes,no,no,,,The standard VAT rate is...,taxsummarie...,no info,no info,,,,,
Europe,Bulgaria,20.00%,20.00%,yes,no,no,,,Bulgaria has a standard V...,ec.europa.e...,no info,no info,,,,,
Europe,Croatia,25.00%,25.00%,yes,no,no,,,Croatia applies the stand...,ec.europa.e...,no info,no info,,,,,
Europe,Czech Republic (Czechia),21.00%,21.00%,yes,no,no,,,"In Czechia, VAT on menstr...",idnes.cz...,no info,no info,,,,,
Europe,Denmark,25.00%,25.00%,yes,no,no,,,Denmark's standard VAT ra...,ec.europa.e...,no,yes,2019,,openpetitio...,In response to a group of...,cphpost.dk...
Europe,Estonia,20.00%,9.00%,no,yes,no,2004,,"In Estonia, the examples...",riigiteataj...,no info,no info,,,,,
Europe,Finland,24.00%,24.00%,yes,no,no,,,Finland applies one of th...,ec.europa.e...,no,yes,2019,,yle.fi...,MP Saara Hyrkkö submitted...,yle.fi...
Europe,France,20.00%,5.50%,no,yes,no,2015,,In France the VAT applied...,legifrance....,yes,no,2014,#tampontax,change.org...,Public pressure generated...,nouvelobs.com...
Europe,Germany,19.00%,7.00%,no,yes,no,2020,,The German government app...,gesetze-im-...,yes,no,2018 - 2019,#keinLuxus #siebenprozent #Tamponsteuer,change.org...,On International Women's...,brandeins.de...
Europe,Greece,24.00%,24.00%,yes,no,no,,,"In 2016, Greece raised th...",ec.europa.e...,no info,no info,,,,,
Europe,Hungary,27.00%,27.00%,yes,no,no,,,Hungary's standard rate o...,ec.europa.e...,no info,no info,,,,,
Europe,Iceland,24.00%,24.00%,yes,no,no,,,Iceland's standard VAT is...,rsk.is...,no info,no info,,,,,
Europe,Ireland,23.00%,0.00%,Yes,no,yes,1972,,No tax is appled to sanit...,revenue.ie...,no,yes,2019,,change.org...,In 2019 the health minist...,thejournal.ie...
Europe,Italy,22.00%,10.00%,no,yes,no,2020 and 2022,,"In November 2022, the gov...",euractiv.co...,yes,yes,2019,,change.org...,The campaign started in 2...,genovaquotidian...
Europe,Latvia,21.00%,21.00%,yes,no,no,,,Latvia's standard VAT rat...,ec.europa.e...,no info,no info,,,,,
Europe,Liechtenstein,7.70%,7.70%,yes,no,no,,,A reduced rate of 2.5% is...,taxsummarie...,no info,no info,,,,,
Europe,Lithuania,21.00%,21.00%,yes,no,no,,,Under Lithuania's VAT law...,vmi.lt...,no info,no info,,,,,
Europe,Luxembourg,17.00%,3.00%,no,yes,no,2019,,"From May 2019, Luxembourg...",ec.europa.e...,yes,no,2016,#NoTaxTampon,cid-fg.lu...,"CID, an organisation for...",sr.de...
Europe,North Macedonia,18.00%,18.00%,yes,no,no,,,North Macedonia's tax rat...,assets.ey.c...,no info,no info,,,,,
Europe,Malta,18.00%,5%,no,yes,no,,,Malta taxes items for me...,justiceserv...,no info,no info,,,,,
Europe,Moldova,20.00%,20.00%,yes,no,no,,,Moldova's standard VAT ra...,assets.ey.c...,no info,no info,,,,,
Europe,Monaco,20.00%,20.00%,yes,no,no,,,A reduced tax rate of 10%...,avalara.com...,no info,no info,,,,,
Europe,Montenegro,21.00%,21.00%,yes,no,no,,,The standard tax rate of...,tradingecon...,no info,no info,,,,,
Europe,Netherlands,21.00%,9.00%,no,yes,no,2017,,Since 2017 menstrual prod...,belastingdi...,yes,no,2017,#Tampontaks,test-aankoo...,Independent non-profit co...,test-aankoop.be...
Europe,Norway,25.00%,25.00%,yes,no,no,,,Norway applies the standa...,assets.ey.c...,no info,no info,,,,,
Europe,Poland,23.00%,5.00%,no,yes,no,2020,,The Polish president sign...,orka.sejm.g...,no info,no info,,,,,
Europe,Portugal,23.00%,6.00%,no,yes,no,2016,,In Portugal sanitary pad...,info.portal...,no info,no info,,,,,
Europe,Romania,19.00%,19.00%,yes,no,no,,,Romania applies a standar...,ec.europa.e...,no info,no info,,,,,
Europe,Serbia,20.00%,20.00%,yes,no,no,,,Serbia's standard VAT rat...,assets.ey.c...,no info,no info,,,,,
Europe,Slovakia,20.00%,10.00%,no,yes,no,2008,,Pursuant to Code 9619 00...,mfsr.sk...,no info,no info,,,,,
Europe,Slovenia,22.00%,9.50%,no,yes,no,2021,,"In April 2021, the Financ...",sloveniatim...,no info,no info,,,,,
Europe,Spain,21.00%,0%,no,yes,yes,2012 / 2018,,Pursuant to Art. 91(1) Nr...,supercontab...,yes,no,2015-2019,,change.org...,In 2016 a creative campai...,estarguapas.com...
Europe,Sweden,25.00%,25.00%,yes,no,no,,,Sweden's standard VAT rat...,ec.europa.e...,no,yes,2018,,mittskifte....,After several years of st...,hbl.fi...
Europe,Switzerland,7.70%,7.70%,yes,no,no,,,"In Switzerland, the VAT r...",ch.ch...,no,yes,2018,#Bloodyunfair,campax.org...,A petition launched on In...,bazonline.ch...
Europe,Ukraine,20.00%,20.00%,yes,no,no,,,The Ukraine levies a stan...,assets.ey.c...,no info,no info,,,,,
Europe,United Kingdom,20.00%,0%,no,no,yes,2021,,With the UK exiting from...,gov.uk...,yes,yes,2013 2020,#EndTamponTax,change.org...,"In the UK, a nationwide c...",edition.cnn.com...
Europe,Vatican City*,0%,0%,no taxes,no taxes,no taxes,,,no taxes...,,no info,no info,,,,,
North America,Antigua and Barbuda,15.00%,15.00%,yes,no,no,,,,tradingecon...,no info,no info,,,,,
North America,Aruba,6.00%,6.00%,yes,no,no,,,Combined turnover and hea...,avalara.com...,no info,no info,,,,,
North America,Bahamas,7.50%,0%,no,no,yes,2021,,In the 2021/22 budget com...,ewnews.com...,no,yes,2018,,change.org...,In 2018 a change.org peti...,
North America,Barbados,17.50%,17.50%,yes,no,no,,,Barbados applies a standa...,avalara.com...,no info,no info,,,,,
North America,Belize,12.50%,12.50%,yes,no,no,,,General Sales Tax (GST) i...,expat.com...,no info,no info,,,,,
North America,Canada,10%,0.00%,no,no,yes,2015,,Pursuant to Part II.1 of...,laws-lois.j...,yes,no,2014,#pasdetaxessurmestampons,change.org...,The #NoTaxOnTampons campa...,independent.co....
North America,Costa Rica,13.00%,13.00%,yes,no,no,,,"In Costa Rica, the standa...",pwc.com...,no,yes,2019,#CambiáLasReglasdelaRegla #MenstruaciónSinIVA,twitter.com...,"in March 2021, Finance Mi...",
North America,Cuba,10.00%,10.00%,yes,no,no,,,There is no VAT in Cuba b...,home.kpmg...,no info,no info,,,,,
North America,Dominica,15.00%,15.00%,yes,no,no,,,,avalara.com...,no info,no info,,,,,
North America,Dominican Republic,18.00%,18.00%,yes,no,no,,,,tradingecon...,no info,no info,,,,,
North America,El Salvador,13.00%,13.00%,yes,no,no,,,El Salvadors standard rat...,assets.ey.c...,no info,no info,,,,,
North America,Grenada,15.00%,15.00%,yes,no,no,,,The standard rate is 15%....,deloitte.co...,no info,no info,,,,,
North America,Guatemala,12.00%,12.00%,yes,no,no,,,Guatemala's standard rate...,assets.ey.c...,no info,no info,,,,,
North America,Haiti,10.00%,10.00%,yes,no,no,,,Haiti's standard VAT rate...,tradingecon...,no info,no info,,,,,
North America,Honduras,15.00%,15.00%,yes,no,no,,,The standard sales tax ra...,assets.ey.c...,no info,no info,,,,,
North America,Jamaica,16.50%,0.00%,no,no,yes,1972 / 2003 / 2014,,Sanitary pads and tampons...,jamaicatax....,no info,no info,,,,,
North America,Mexico,16.00%,0.00%,no,no,yes,2022,,Senat approved on 25th Oc...,mexicobusin...,yes,yes,2018,#MenstruaciónDigna #Tasa0 #MenstruaciónSinIVA,,The initiative Menstruaci...,sdpnoticias.com...
North America,Nicaragua,15.00%,0.00%,no,no,yes,2013,YES,No tax is levied on sanit...,legislacion...,no info,no info,,,,,
North America,Panama,7%,7%,yes,no,no,,,Panama's standard VTA ra...,assets.ey.c...,no info,no info,,,,,
North America,St Kitts and Nevis,17.00%,0.00%,no,no,yes,2015,,"On 3 December 2014, the...",skncustoms....,no info,no info,,,,,
North America,St Lucia,12.50%,12.50%,yes,no,no,,,A zero rate VAT is levied...,taxsummarie...,no info,no info,,,,,
North America,St Vincent and The Grenadines,16.00%,16.00%,yes,no,no,,,VAT standard rate is 16%....,home.kpmg...,no info,no info,,,,,
North America,Trinidad and Tobago,12.50%,0.00%,no,no,yes,2016,,"in Trinidad and Tobago,...",finance.gov...,no info,no info,,,,,
North America,United States of America,x,x,yes,no,yes,2015 onwards,,The United States does no...,assets.ey.c...,yes,yes,,#TaxFreePeriod #TamponTax,change.org...,There are active campaign...,bizjournals.com...
Oceania,Australia,10.00%,0.00%,no,no,yes,2019,,With effect from 1 Januar...,legislation...,yes,no,2012-2018,#Blingonastring #BloodyOutrage,change.org...,When Australia's conserva...,watoday.com.au...
Oceania,Fiji,9.00%,9.00%,yes,no,no,,,"In Fiji, the standard VAT...",frcs.org.fj...,no info,no info,,,,,
Oceania,Kiribati,12.50%,12.50%,yes,no,no,,,,kiribati.tr...,no info,no info,,,,,
Oceania,Marshall Islands,x,x,no info,no info,no info,,,Local governments apply s...,lowtax.net...,no info,no info,,,,,
Oceania,Federated States of Micronesia,x,x,no info,no info,no info,,,,,no info,no info,,,,,
Oceania,Nauru,x,x,no info,no info,no info,,,,,no info,no info,,,,,
Oceania,New Zealand,15.00%,15.00%,yes,no,no,,,New Zealand standard VAT...,legislation...,no,yes,2017,,change.org...,Two petitions calling on...,
Oceania,Palau,x,x,no info,no info,no info,,,,,no info,no info,,,,,
Oceania,Papua New Guinea,10.00%,10.00%,yes,no,no,,,PNG applies a standard ra...,assets.ey.c...,no info,no info,,,,,
Oceania,Samoa,15.00%,15.00%,yes,no,no,,,VAGST (Value added goods...,revenue.gov...,no info,no info,,,,,
Oceania,Solomon Islands,12.50%,12.50%,yes,no,no,,,Goods tax applies to dome...,ird.gov.sb...,no info,no info,,,,,
Oceania,Tonga,15.00%,15.00%,yes,no,no,,,,tradingecon...,no info,no info,,,,,
Oceania,Tuvalu,5.00%,5.00%,yes,no,no,,,,merchantmac...,no info,no info,,,,,
Oceania,Vanuatu,15.00%,15.00%,yes,no,no,,,,avalara.com...,no info,no info,,,,,
South America,Argentina,21.00%,21.00%,yes,no,no,,,Argentina applies a range...,civio.es...,no,yes,2017,#MenstruAcción,notimerica....,Among Women's Day marches...,
South America,Bolivia,14.94%,14.94%,yes,no,no,,,A standard tax rate of 13...,assets.ey.c...,no info,no info,,,,,
South America,Brazil,18.50%,18.50%,yes,no,no,,,Brazil apllies state-leve...,pwc.com...,no info,no info,,,,,
South America,Chile,19.00%,19.00%,yes,no,no,,,A 19% standard tax rate a...,pwc.com...,no info,no info,,,,,
South America,Colombia,19.00%,0.00%,no,no,yes,2018,,In Colombia the VAT on sa...,corteconsti...,yes,no,2018,#MenstruaciónLibreDeImpuestos,change.org...,,
South America,Ecuador,12.00%,12.00%,yes,no,no,,,A 12% standard tax rate i...,pwc.com...,no info,no info,,,,,
South America,Guyana,14.00%,0.00%,no,no,yes,2017,,"In 2017, Guyana revenue a...",kaieteurnew...,no info,no info,,,,,
South America,Paraguay,10.00%,10.00%,yes,no,no,,,Paraguay's standard VAT i...,home.kpmg...,no info,no info,,,,,
South America,Peru,18.00%,18.00%,yes,no,no,,,Peru's standard rate is 1...,avalara.com...,no info,no info,,,,,
South America,Suriname,10.00%,10.00%,yes,no,no,,,A 10% rate is applies to...,avalara.com...,no info,no info,,,,,
South America,Uruguay,22.00%,22.00%,yes,no,no,,,Uruguay's sandard rate is...,avalara.com...,no,yes,2019,,twitter.com...,"Daniel Martínez, a candid...",elobservador.co...
South America,Venezuela,16.00%,16.00%,yes,no,no,,,The standard VAT in Venzu...,assets.ey.c...,no info,no info,,,,,