Timestamp,Who should the train hit?,Who should the train hit?,Who should the train hit?,Who should the train hit?,Who should the train hit?,Would you rather get hit by,Who should the train hit?,Who should the train hit?,Who should the train hit?,Who should the train hit?,Who should the train hit?,Who should the train hit?
1/19/2023 15:44:06,0,0,0,1,1,1,1,1,1,1,1,0
1/19/2023 16:11:11,0,1,1,0,0,1,0,1,0,1,1,0
1/19/2023 16:13:54,0,1,1,0,1,1,0,1,0,1,0,0
1/19/2023 19:50:58,0,0,1,1,1,0,1,1,1,1,1,1
1/19/2023 19:54:19,0,0,0,1,0,0,1,1,1,1,1,1
1/19/2023 19:58:50,1,0,0,0,0,0,1,0,0,0,0,0
1/19/2023 21:58:59,0,0,1,0,1,1,1,1,1,1,0,0
1/20/2023 11:38:10,0,1,1,1,1,0,1,1,1,1,1,1
1/20/2023 11:39:54,0,1,1,0,1,1,0,0,1,0,0,0
1/20/2023 11:40:51,0,0,1,1,0,1,1,0,1,0,0,0
1/20/2023 11:44:07,0,0,0,1,0,1,1,1,1,1,0,0
1/20/2023 11:48:02,0,0,1,0,1,1,1,1,0,1,1,1
1/20/2023 12:36:34,1,1,1,0,1,1,0,0,0,0,1,0
1/20/2023 13:12:36,0,0,1,1,1,0,1,1,0,1,1,1
1/20/2023 13:14:19,0,0,1,1,0,1,1,1,1,0,1,1
1/20/2023 13:16:25,0,0,1,1,0,1,1,1,1,1,1,1
1/20/2023 13:17:34,0,0,0,0,0,0,1,1,1,1,0,0
1/20/2023 13:48:54,0,0,0,1,0,0,1,1,0,1,0,0
1/20/2023 13:52:51,0,0,1,1,0,0,1,1,1,1,0,1
1/20/2023 13:57:12,0,0,1,1,1,0,0,1,1,1,0,0
1/20/2023 14:35:00,0,1,1,1,0,0,0,1,1,1,0,1
1/20/2023 15:18:30,0,0,1,1,1,1,1,0,1,1,0,0
1/20/2023 15:33:46,0,1,0,1,1,1,1,1,0,1,1,1
1/20/2023 15:37:02,0,0,0,1,0,1,1,1,1,1,1,1
1/20/2023 15:39:35,0,0,1,1,0,0,1,1,1,0,0,1
1/20/2023 15:41:38,0,0,1,1,1,1,1,0,1,0,0,1
1/20/2023 15:42:47,1,1,0,0,1,0,0,0,0,0,0,0
1/23/2023 10:37:42,0,0,1,1,0,1,1,1,1,0,0,1
1/23/2023 11:00:33,0,0,1,1,1,0,1,1,0,1,0,1
1/24/2023 9:43:42,0,0,1,0,1,0,0,1,0,1,0,1
1/24/2023 9:45:42,0,1,1,0,1,1,0,0,0,0,0,0
1/24/2023 10:00:48,0,0,0,1,1,1,1,1,1,0,1,1
1/24/2023 10:07:40,0,0,0,1,0,1,1,1,1,1,1,0
1/24/2023 10:20:37,0,0,0,1,1,0,0,1,1,0,0,0
1/24/2023 10:22:27,0,0,1,1,0,1,1,0,1,1,0,1
1/24/2023 10:32:15,0,0,1,0,1,0,1,1,1,1,0,1
1/24/2023 11:42:31,0,0,0,1,0,1,1,1,1,1,0,1
1/25/2023 10:25:33,0,0,0,1,0,1,1,1,1,1,0,1
1/25/2023 10:27:12,0,1,1,0,1,0,1,0,1,0,0,1
1/25/2023 10:29:36,0,1,1,1,0,1,1,1,1,1,0,0
1/25/2023 10:31:51,0,0,1,1,0,1,0,1,1,1,0,0
1/25/2023 10:36:19,0,0,0,1,0,0,1,1,1,1,1,0
1/26/2023 13:58:48,1,0,0,1,0,1,1,1,1,0,0,1
3/9/2023 18:03:53,0,0,0,1,0,1,1,0,0,0,1,0
3/14/2023 11:56:35,0,0,0,1,0,1,1,1,1,1,0,1
3/14/2023 12:00:45,0,1,0,0,1,1,0,0,0,1,0,0
3/14/2023 12:02:53,0,0,0,1,0,1,1,1,1,1,0,1
3/14/2023 12:03:52,0,0,0,0,0,1,1,1,1,1,0,1
3/14/2023 12:04:36,0,0,0,1,1,1,1,0,1,1,1,1
3/14/2023 12:05:13,0,0,1,1,1,0,1,1,1,0,0,1
3/14/2023 12:05:59,0,0,0,1,0,0,1,1,1,1,0,0
3/14/2023 12:08:01,0,1,0,1,1,1,1,1,1,1,1,1
3/14/2023 12:09:13,0,1,1,0,0,1,1,1,1,0,0,1
3/14/2023 12:09:39,0,0,1,0,1,1,0,1,1,0,1,0
3/14/2023 12:09:40,0,0,1,0,1,1,1,1,1,0,0,1
3/14/2023 12:09:49,0,1,0,1,0,1,1,1,1,1,0,1
3/14/2023 12:12:23,1,0,0,0,1,1,1,1,0,0,1,0
3/14/2023 12:12:37,0,1,1,0,1,1,1,1,1,1,0,1
3/14/2023 12:14:06,1,0,0,1,0,1,1,1,0,1,0,0
3/14/2023 12:14:32,0,0,1,1,0,0,1,1,1,1,1,1
3/14/2023 12:17:23,1,1,1,0,1,0,1,1,0,1,0,1
3/14/2023 12:17:44,0,0,1,1,1,0,1,1,1,0,0,1
3/14/2023 12:21:18,0,1,1,1,1,1,1,1,1,1,1,1
3/14/2023 12:21:39,1,1,1,1,1,1,1,1,1,1,1,1
3/14/2023 12:21:57,1,1,1,1,1,1,1,1,1,1,1,1
3/14/2023 12:23:32,0,1,1,1,1,1,0,0,0,1,0,1
3/14/2023 12:25:20,0,0,1,1,0,1,1,1,1,1,1,1
3/14/2023 12:26:08,0,1,0,1,0,1,0,1,0,1,0,1
3/14/2023 12:27:43,0,0,0,1,0,1,1,1,1,1,0,1
3/14/2023 12:27:54,0,0,1,1,0,0,1,1,1,1,0,1
3/14/2023 12:29:28,0,1,1,0,0,1,0,0,1,1,1,0
3/14/2023 12:29:50,0,0,0,1,0,1,1,1,0,0,1,0
3/14/2023 12:33:27,0,0,1,1,0,1,1,1,0,1,0,1
3/14/2023 12:39:16,0,0,1,1,0,0,1,1,1,1,0,1
3/14/2023 12:40:49,0,0,1,1,0,1,1,1,1,1,0,1
3/14/2023 12:45:10,0,1,1,1,0,1,1,1,0,1,0,1
3/14/2023 12:50:30,0,0,1,1,0,0,0,1,1,1,1,1
3/14/2023 12:52:07,0,1,1,1,0,0,0,0,1,1,0,0
3/14/2023 12:54:01,0,0,1,1,0,1,1,1,1,1,1,1
3/14/2023 12:54:35,0,0,1,1,0,1,1,1,1,1,0,1
3/14/2023 12:54:47,0,1,0,1,0,0,1,1,1,1,1,1
3/14/2023 12:56:39,0,0,1,0,0,1,1,1,1,0,0,0
3/14/2023 12:57:27,0,1,1,0,1,0,0,0,0,1,0,0
3/14/2023 13:05:43,0,1,1,1,0,0,1,1,1,1,1,1
3/14/2023 13:14:49,1,0,1,1,0,0,1,1,1,1,0,1
3/14/2023 13:15:22,0,0,0,0,0,1,1,1,1,0,0,0
3/14/2023 13:17:00,0,0,1,1,0,0,1,1,1,0,0,0
3/14/2023 13:23:45,0,1,0,1,0,1,1,1,1,1,1,1
3/14/2023 13:24:04,0,0,1,0,0,1,1,1,0,1,0,0
3/14/2023 13:24:35,0,0,1,1,0,0,1,1,1,0,0,0
3/14/2023 13:30:38,0,1,1,1,1,1,1,0,1,1,1,1
3/14/2023 13:34:52,0,0,1,1,0,0,1,1,1,1,1,1
3/14/2023 13:35:03,0,0,1,1,0,1,1,0,1,0,0,1
3/14/2023 13:45:53,0,0,1,1,0,0,1,1,1,1,1,1
3/14/2023 13:54:20,0,0,1,1,0,1,1,1,1,1,0,0
3/14/2023 14:18:15,0,1,1,1,0,1,1,0,1,1,0,0
3/14/2023 14:20:43,0,1,1,1,1,1,0,1,0,1,1,1
3/14/2023 14:20:45,0,1,0,1,0,0,1,1,1,1,1,1
3/14/2023 14:21:32,0,0,0,1,0,1,1,1,1,0,0,0
3/14/2023 14:23:30,0,1,0,1,0,1,1,1,1,0,0,1
3/14/2023 14:30:04,0,1,1,1,0,1,0,0,1,0,0,0
3/14/2023 14:37:13,0,0,0,1,0,0,1,1,1,0,0,0
3/14/2023 14:41:08,0,1,0,0,0,1,1,1,1,0,0,0
3/14/2023 14:43:36,0,0,1,1,0,1,1,1,1,0,0,1
3/14/2023 14:48:55,0,1,1,0,1,1,1,0,1,1,1,1
3/14/2023 14:50:17,0,0,1,0,1,1,1,0,0,0,0,1
3/14/2023 14:52:03,0,0,1,1,1,1,1,1,1,1,1,1
3/14/2023 14:52:40,0,0,0,1,0,1,1,1,1,1,1,1
3/14/2023 15:16:04,0,0,1,1,0,1,1,1,1,1,0,1
3/14/2023 15:17:58,0,0,1,1,0,1,1,1,1,1,0,1
3/14/2023 15:46:47,0,0,1,1,1,1,1,1,1,1,1,1
3/14/2023 15:52:26,1,1,1,0,1,1,0,1,1,0,0,1
3/14/2023 15:53:46,0,0,1,1,0,0,1,1,1,0,0,1
3/14/2023 15:55:22,0,1,0,0,1,1,1,1,0,0,0,0
3/14/2023 16:07:04,0,0,0,1,0,1,1,1,1,1,1,1
3/14/2023 16:15:41,0,0,1,1,0,1,1,1,1,0,0,1
3/14/2023 16:33:25,0,0,0,0,1,1,1,1,1,1,1,1
3/14/2023 16:55:10,0,1,0,0,0,1,1,1,0,1,1,0
3/14/2023 16:58:39,1,0,1,0,0,0,1,1,1,0,0,1
3/14/2023 17:17:46,0,0,0,1,0,1,1,1,0,1,1,1
3/14/2023 18:01:00,0,0,1,1,0,0,1,1,1,0,0,1
3/14/2023 18:01:38,0,0,1,0,1,1,1,0,1,1,0,0
3/14/2023 18:04:22,0,1,0,1,0,0,1,1,1,1,0,1
3/14/2023 18:12:40,0,0,0,1,0,1,1,1,1,1,0,0
3/14/2023 18:29:06,0,0,1,1,1,1,1,1,1,0,0,1
3/14/2023 18:29:03,0,0,0,1,0,1,1,1,1,1,0,0
3/14/2023 18:43:46,1,0,0,1,1,1,1,1,0,1,0,0
3/14/2023 19:28:21,0,0,1,1,0,0,1,1,0,0,1,1
3/14/2023 19:49:05,0,0,1,1,1,1,1,0,1,1,1,1
3/14/2023 20:16:36,0,0,0,1,0,1,1,1,1,0,1,1
3/14/2023 20:29:12,0,0,0,0,1,1,0,1,1,0,0,1
3/14/2023 20:59:25,0,1,1,1,0,0,1,1,1,1,1,1
3/14/2023 21:08:32,1,0,0,0,1,1,0,0,0,0,1,0
3/14/2023 21:09:25,0,0,1,1,0,1,0,1,0,1,1,1
3/14/2023 21:10:28,0,0,0,0,1,1,1,1,1,0,0,0
3/14/2023 21:14:50,0,0,1,1,0,0,1,1,1,0,0,1
3/14/2023 21:16:19,0,1,1,0,1,1,0,0,0,1,1,1
3/14/2023 22:03:43,0,0,1,1,0,1,1,0,1,1,0,0
3/14/2023 22:27:16,0,0,0,1,0,0,1,1,1,0,0,1
3/14/2023 22:35:41,0,0,1,0,1,0,0,1,0,1,0,1
3/14/2023 23:06:22,0,0,0,1,0,0,1,1,1,0,0,0
3/15/2023 0:12:37,0,0,1,1,1,1,0,1,1,0,0,1
3/15/2023 0:41:38,0,0,0,1,0,0,1,1,1,1,0,0
3/15/2023 2:03:48,0,1,1,1,1,0,1,1,1,1,0,1
3/15/2023 7:56:49,0,0,0,1,0,0,1,1,1,1,0,1
3/15/2023 8:22:32,0,0,0,0,1,0,1,0,1,0,0,1
3/15/2023 9:07:53,1,1,1,1,0,1,1,1,1,0,1,1
3/15/2023 11:11:40,0,0,0,1,0,1,1,1,0,0,0,1
3/15/2023 13:03:05,0,0,1,1,0,1,1,1,1,0,1,1
3/15/2023 13:03:53,0,0,0,1,0,0,1,1,1,0,0,1
3/15/2023 13:03:55,0,0,1,1,1,1,1,1,1,1,0,1
3/15/2023 13:06:26,0,0,0,1,0,1,1,1,1,1,0,1
3/15/2023 13:10:43,0,0,0,1,0,1,1,1,1,0,0,1
3/15/2023 13:12:39,0,0,1,1,0,0,1,0,0,0,0,1
3/15/2023 15:40:02,0,0,1,0,1,1,0,0,1,1,0,1
3/15/2023 19:27:55,1,1,0,1,1,0,1,1,1,0,0,1
3/16/2023 9:25:13,0,0,0,1,0,1,1,1,0,1,1,1
3/16/2023 10:45:55,0,0,0,1,0,1,1,1,1,1,1,1
3/16/2023 13:40:44,0,0,0,1,0,1,1,1,1,1,1,0
3/16/2023 13:40:46,0,0,0,1,0,1,1,1,1,0,1,0
3/16/2023 14:41:22,0,1,0,1,0,0,1,1,1,0,0,1
3/16/2023 15:28:16,0,1,1,0,1,1,0,0,0,1,1,1
3/16/2023 15:35:08,0,0,1,1,1,1,0,0,1,1,0,1
3/16/2023 17:51:21,0,0,1,1,1,0,1,1,1,0,0,1
3/17/2023 13:42:40,0,0,1,1,0,1,1,1,1,0,0,1
3/20/2023 14:46:12,0,0,1,1,0,0,1,1,1,1,0,1
Total,16,48,99,123,63,,135,133,127,104,59,112
Mean,0.0964,0.2892,0.5964,0.741,0.3795,,0.8133,0.8012,0.7651,0.6265,0.3554,0.6747